benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,938005458,717495331,1654518732495
matrix-multiply,899011938,1670523021,1654518732495
matrix-multiply,902029881,2587340875,1654518732495
matrix-multiply,902717214,3506043872,1654518732495
matrix-multiply,905346146,4431188721,1654518732495
matrix-multiply,900691595,5353536641,1654518732495
matrix-multiply,900390148,6271687711,1654518732495
matrix-multiply,901050791,7189186905,1654518732495
matrix-multiply,902408823,8109667876,1654518732495
matrix-multiply,899798055,9032693700,1654518732495
matrix-multiply,904185223,9952107965,1654518732495
matrix-multiply,904017048,10875741061,1654518732495
matrix-multiply,900085706,11796559356,1654518732495
matrix-multiply,903100554,12713606450,1654518732495
matrix-multiply,902850444,13634314758,1654518732495
matrix-multiply,907038387,14554680161,1654518732495
matrix-multiply,902646200,15478913876,1654518732495
matrix-multiply,902417359,16400908132,1654518732495
matrix-multiply,902013761,17319600349,1654518732495
matrix-multiply,905105684,18238841348,1654518732495
matrix-multiply,903511577,19162225116,1654518732495
matrix-multiply,902425826,20082999848,1654518732495
matrix-multiply,902111394,21000785491,1654518732495
matrix-multiply,902371823,21918724062,1654518732495
matrix-multiply,905007940,22836344073,1654518732495
matrix-multiply,902682408,23758411676,1654518732495
matrix-multiply,903750355,24678022591,1654518732495
matrix-multiply,902753251,25597241318,1654518732495
matrix-multiply,903073753,26515659300,1654518732495
matrix-multiply,902873226,27439009344,1654518732495
matrix-multiply,903498553,28357398521,1654518732495
matrix-multiply,903656669,29277919397,1654518732495
matrix-multiply,904020394,30198019270,1654518732495
matrix-multiply,904320788,31117467870,1654518732495
matrix-multiply,903996959,32038704220,1654518732495
matrix-multiply,906680244,32958878744,1654518732495
matrix-multiply,914202907,33883224410,1654518732495
matrix-multiply,906746329,34815554347,1654518732495
matrix-multiply,903897232,35743911325,1654518732495
matrix-multiply,902391030,36666074488,1654518732495
matrix-multiply,935470461,37587775993,1654518732495
matrix-multiply,909905368,38542212431,1654518732495
matrix-multiply,910123087,39468046646,1654518732495
matrix-multiply,910302885,40395017718,1654518732495
matrix-multiply,906023639,41322727429,1654518732495
matrix-multiply,905966843,42247537468,1654518732495
matrix-multiply,906027717,43172554466,1654518732495
matrix-multiply,906103790,44098278524,1654518732495
matrix-multiply,910780162,45021475009,1654518732495
matrix-multiply,908744835,45951138694,1654518732495
matrix-multiply,910396932,46878256802,1654518732495
matrix-multiply,909794269,47807377325,1654518732495
matrix-multiply,908825838,48735929139,1654518732495
matrix-multiply,912352949,49662858513,1654518732495
matrix-multiply,910300530,50594536434,1654518732495
matrix-multiply,912635670,51520931443,1654518732495
matrix-multiply,911336548,52448499257,1654518732495
matrix-multiply,910867236,53376770453,1654518732495
matrix-multiply,911905318,54304124124,1654518732495
matrix-multiply,911247530,55237198231,1654518732495
matrix-multiply,910988193,56166876793,1654518732495
matrix-multiply,910777898,57096451911,1654518732495
matrix-multiply,911242371,58026018472,1654518732495
matrix-multiply,910329184,58954108268,1654518732495
matrix-multiply,910942848,59884454916,1654518732495
matrix-multiply,906570548,60815707377,1654518732495
matrix-multiply,906594232,61740874618,1654518732495
matrix-multiply,907052695,62663785927,1654518732495
matrix-multiply,907095364,63590698620,1654518732495
matrix-multiply,908376733,64516735125,1654518732495
matrix-multiply,907192898,65443440066,1654518732495
matrix-multiply,907183681,66368198438,1654518732495
matrix-multiply,907161038,67295653440,1654518732495
matrix-multiply,907170616,68219901463,1654518732495
matrix-multiply,907690213,69145092308,1654518732495
matrix-multiply,907630440,70069203423,1654518732495
matrix-multiply,911681327,70992470451,1654518732495
matrix-multiply,910123337,71925038386,1654518732495
matrix-multiply,907319225,72854785667,1654518732495
matrix-multiply,907563044,73778545682,1654518732495
matrix-multiply,910856326,74703318020,1654518732495
matrix-multiply,907551462,75631891215,1654518732495
matrix-multiply,907255415,76559805911,1654518732495
matrix-multiply,907479607,77482897729,1654518732495
matrix-multiply,907557183,78406417342,1654518732495
matrix-multiply,909528830,79334500335,1654518732495
matrix-multiply,908042495,80259788754,1654518732495
matrix-multiply,907528318,81185710433,1654518732495
matrix-multiply,907507920,82109348849,1654518732495
matrix-multiply,908097138,83035688404,1654518732495
matrix-multiply,909507309,83960914726,1654518732495
matrix-multiply,908774482,84886187905,1654518732495
matrix-multiply,907543186,85812688854,1654518732495
matrix-multiply,907465099,86736380791,1654518732495
matrix-multiply,908050220,87661836053,1654518732495
matrix-multiply,913145288,88585832102,1654518732495
matrix-multiply,908321891,89516251687,1654518732495
matrix-multiply,911668943,90445067648,1654518732495
matrix-multiply,907617196,91375393146,1654518732495
matrix-multiply,907725589,92302712814,1654518732495
matrix-multiply,907485007,93228309412,1654518732495
matrix-multiply,907716252,94155936727,1654518732495
matrix-multiply,909019563,95082287112,1654518732495
matrix-multiply,908429122,96012020488,1654518732495
matrix-multiply,907513952,96943385230,1654518732495
matrix-multiply,907638656,97866457833,1654518732495
matrix-multiply,907607998,98792671521,1654518732495
matrix-multiply,908743052,99716081438,1654518732495
matrix-multiply,907995597,100643860349,1654518732495
matrix-multiply,914079515,101573843183,1654518732495
matrix-multiply,908248883,102508268800,1654518732495
matrix-multiply,908571330,103436554343,1654518732495
matrix-multiply,909364120,104360531767,1654518732495
matrix-multiply,908351576,105284790440,1654518732495
matrix-multiply,908567132,106208886907,1654518732495
matrix-multiply,910060549,107133937158,1654518732495
matrix-multiply,910595976,108062362955,1654518732495
matrix-multiply,910705772,108990862811,1654518732495
matrix-multiply,910081198,109919971392,1654518732495
matrix-multiply,908442136,110848015221,1654518732495
matrix-multiply,908843411,111777655912,1654518732495
matrix-multiply,908992812,112702242230,1654518732495
matrix-multiply,908771305,113629780910,1654518732495
matrix-multiply,912505606,114553255598,1654518732495
matrix-multiply,909209188,115481078422,1654518732495
matrix-multiply,908892022,116407651265,1654518732495
matrix-multiply,909132334,117334815851,1654518732495
matrix-multiply,908938640,118263430082,1654518732495
matrix-multiply,909331980,119190994429,1654518732495
matrix-multiply,909705051,120116745578,1654518732495
matrix-multiply,909130441,121046420854,1654518732495
matrix-multiply,909011367,121974010158,1654518732495
matrix-multiply,909147773,122903983204,1654518732495
matrix-multiply,909255285,123832101994,1654518732495
matrix-multiply,910672821,124757184966,1654518732495
matrix-multiply,909334434,125683790732,1654518732495
matrix-multiply,909968456,126610221508,1654518732495
matrix-multiply,909434984,127537195545,1654518732495
matrix-multiply,909268270,128462069825,1654518732495
matrix-multiply,909524792,129387607783,1654518732495
matrix-multiply,909747621,130314005287,1654518732495
matrix-multiply,909733264,131239579563,1654518732495
matrix-multiply,909163442,132165462940,1654518732495
matrix-multiply,909757339,133092068765,1654518732495
matrix-multiply,908922750,134019352345,1654518732495
matrix-multiply,911836508,134944200726,1654518732495
matrix-multiply,909191526,135874038978,1654518732495
matrix-multiply,909178110,136801893732,1654518732495
matrix-multiply,909710290,137729316824,1654518732495
matrix-multiply,909433049,138658436315,1654518732495
matrix-multiply,910832070,139586903910,1654518732495
matrix-multiply,910269883,140516068346,1654518732495
matrix-multiply,909914334,141443787004,1654518732495
matrix-multiply,909893796,142371840130,1654518732495
matrix-multiply,909728154,143301338223,1654518732495
matrix-multiply,909569827,144231141640,1654518732495
matrix-multiply,911650488,145160522563,1654518732495
matrix-multiply,909944882,146090288519,1654518732495
matrix-multiply,910073153,147020904875,1654518732495
matrix-multiply,910138706,147949038222,1654518732495
matrix-multiply,910017638,148880736642,1654518732495
matrix-multiply,910327571,149807741808,1654518732495
matrix-multiply,910476231,150736615116,1654518732495
matrix-multiply,909687548,151663903384,1654518732495
matrix-multiply,910152953,152590533235,1654518732495
matrix-multiply,910221562,153518026689,1654518732495
matrix-multiply,914448088,154448829164,1654518732495
matrix-multiply,910481551,155380380858,1654518732495
matrix-multiply,910445533,156307796586,1654518732495
matrix-multiply,910518851,157236053506,1654518732495
matrix-multiply,910269472,158164741075,1654518732495
matrix-multiply,910113940,159093672352,1654518732495
matrix-multiply,910079966,160019970579,1654518732495
matrix-multiply,910295341,160946024597,1654518732495
matrix-multiply,910202987,161872655149,1654518732495
matrix-multiply,910421608,162801523578,1654518732495
matrix-multiply,910013932,163727868623,1654518732495
matrix-multiply,911542305,164654070339,1654518732495
matrix-multiply,910192427,165583023828,1654518732495
matrix-multiply,910154316,166509502013,1654518732495
matrix-multiply,911943409,167436018972,1654518732495
matrix-multiply,917974277,168367348598,1654518732495
matrix-multiply,913566070,169303232867,1654518732495
matrix-multiply,910328883,170235551263,1654518732495
matrix-multiply,910711513,171165668740,1654518732495
matrix-multiply,910280773,172094502314,1654518732495
matrix-multiply,910505956,173024122236,1654518732495
matrix-multiply,910216783,173951940320,1654518732495
matrix-multiply,912430785,174880056826,1654518732495
matrix-multiply,910251007,175811433691,1654518732495
matrix-multiply,909770915,176742353627,1654518732495
matrix-multiply,910083733,177669583125,1654518732495
matrix-multiply,912035743,178599185083,1654518732495
matrix-multiply,910643315,179533100461,1654518732495
matrix-multiply,920664946,180460672112,1654518732495
matrix-multiply,908865713,181398057103,1654518732495
matrix-multiply,908219047,182323901487,1654518732495
matrix-multiply,908210210,183252986884,1654518732495
matrix-multiply,908762689,184183389678,1654518732495
matrix-multiply,910945152,185109959385,1654518732495
matrix-multiply,909560760,186040537809,1654518732495
matrix-multiply,909560118,186972842709,1654518732495
matrix-multiply,909780984,187902643631,1654518732495
matrix-multiply,910718206,188832390572,1654518732495
matrix-multiply,911099473,189762084974,1654518732495
matrix-multiply,909789860,190691687183,1654518732495
matrix-multiply,910573022,191619872989,1654518732495
matrix-multiply,908942647,192546584523,1654518732495
matrix-multiply,909538909,193472505220,1654518732495
matrix-multiply,910739976,194398073425,1654518732495
matrix-multiply,909051623,195325880909,1654518732495
matrix-multiply,908330346,196251775127,1654518732495
matrix-multiply,908749915,197180164265,1654518732495
matrix-multiply,910898204,198105684098,1654518732495
matrix-multiply,910180575,199035237034,1654518732495
matrix-multiply,908712255,199964778218,1654518732495
matrix-multiply,908829334,200890095101,1654518732495
matrix-multiply,910049709,201816679916,1654518732495
matrix-multiply,908174774,202749193258,1654518732495
matrix-multiply,908055951,203676983921,1654518732495
matrix-multiply,909355263,204603977295,1654518732495
matrix-multiply,908089424,205531192716,1654518732495
matrix-multiply,908121103,206457146476,1654518732495
matrix-multiply,908056702,207387133618,1654518732495
matrix-multiply,929300020,208314170344,1654518732495
matrix-multiply,914070168,209261927725,1654518732495
matrix-multiply,914493333,210195650461,1654518732495
matrix-multiply,915360403,211129265063,1654518732495
matrix-multiply,913417430,212065525690,1654518732495
matrix-multiply,914863730,212996203060,1654518732495
matrix-multiply,914118960,213928469748,1654518732495
matrix-multiply,913244606,214858810465,1654518732495
matrix-multiply,910277297,215788577634,1654518732495
matrix-multiply,910631643,216714454189,1654518732495
matrix-multiply,910470810,217642388682,1654518732495
matrix-multiply,910610484,218568863771,1654518732495
matrix-multiply,912650539,219496028808,1654518732495
matrix-multiply,910903114,220425027552,1654518732495
matrix-multiply,911408113,221356033510,1654518732495
matrix-multiply,912087369,222285948838,1654518732495
matrix-multiply,911642343,223218572617,1654518732495
matrix-multiply,911369881,224148907874,1654518732495
matrix-multiply,913264433,225078604921,1654518732495
matrix-multiply,911213587,226011144442,1654518732495
matrix-multiply,911082641,226942340016,1654518732495
matrix-multiply,912308956,227873668711,1654518732495
matrix-multiply,911561451,228804782602,1654518732495
matrix-multiply,911715430,229737350326,1654518732495
matrix-multiply,910505395,230669712173,1654518732495
matrix-multiply,912180064,231597756843,1654518732495
matrix-multiply,911362658,232530419185,1654518732495
matrix-multiply,910785903,233462630750,1654518732495
matrix-multiply,914674594,234390815684,1654518732495
matrix-multiply,911362537,235325483426,1654518732495
matrix-multiply,910880782,236257086426,1654518732495
matrix-multiply,911831740,237184164369,1654518732495
matrix-multiply,911640860,238118843493,1654518732495
matrix-multiply,913837090,239048518358,1654518732495
matrix-multiply,911022538,239980636447,1654518732495
matrix-multiply,911775323,240909836660,1654518732495
matrix-multiply,911115713,241836997158,1654518732495
matrix-multiply,911862296,242764539785,1654518732495
matrix-multiply,911847829,243697483556,1654518732495
matrix-multiply,912517127,244626859710,1654518732495
matrix-multiply,911805920,245557082315,1654518732495
matrix-multiply,911484436,246486406431,1654518732495
matrix-multiply,911521626,247415259030,1654518732495
matrix-multiply,911474487,248344688905,1654518732495
matrix-multiply,915853641,249272707997,1654518732495
matrix-multiply,915614762,250207245444,1654518732495
matrix-multiply,917551583,251140707750,1654518732495
matrix-multiply,916401501,252075895931,1654518732495
matrix-multiply,916039620,253010000074,1654518732495
matrix-multiply,915502210,253945777492,1654518732495
matrix-multiply,914539880,254879724069,1654518732495
matrix-multiply,911383877,255811196604,1654518732495
matrix-multiply,911406741,256741066415,1654518732495
