benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,1191983731,761451075,1654504928646
matrix-multiply,1349182868,1972878460,1654504928646
matrix-multiply,1618352280,3345076078,1654504928646
matrix-multiply,1194921831,4986441031,1654504928646
matrix-multiply,1195675529,6200655252,1654504928646
matrix-multiply,1197264311,7420465910,1654504928646
matrix-multiply,1189150599,8640217658,1654504928646
matrix-multiply,1194701955,9848528534,1654504928646
matrix-multiply,1189624405,11060743208,1654504928646
matrix-multiply,1201689823,12267725178,1654504928646
matrix-multiply,1191443135,13489098301,1654504928646
matrix-multiply,1190892467,14700191388,1654504928646
matrix-multiply,1191635474,15911694312,1654504928646
matrix-multiply,1192300407,17128103960,1654504928646
matrix-multiply,1199713624,18339814986,1654504928646
matrix-multiply,1194830414,19560439128,1654504928646
matrix-multiply,1189074873,20773076024,1654504928646
matrix-multiply,1172372035,21985787054,1654504928646
matrix-multiply,1169752884,23178072063,1654504928646
matrix-multiply,1174453236,24369721510,1654504928646
matrix-multiply,1168417939,25562092290,1654504928646
matrix-multiply,1172041398,26748386921,1654504928646
matrix-multiply,1170404479,27942200590,1654504928646
matrix-multiply,1177202684,29135905308,1654504928646
matrix-multiply,1176660841,30336501252,1654504928646
matrix-multiply,1174199113,31538157953,1654504928646
matrix-multiply,1171003834,32729897231,1654504928646
matrix-multiply,1174439988,33919954766,1654504928646
matrix-multiply,1174167184,35119560327,1654504928646
matrix-multiply,1180796851,36312117121,1654504928646
matrix-multiply,1177250808,37516801363,1654504928646
matrix-multiply,1175198400,38713414246,1654504928646
matrix-multiply,1173600411,39906605847,1654504928646
matrix-multiply,1170043043,41100002483,1654504928646
matrix-multiply,1182042796,42287982418,1654504928646
matrix-multiply,1171015757,43492723712,1654504928646
matrix-multiply,1169829005,44681108396,1654504928646
matrix-multiply,1171803717,45868888399,1654504928646
matrix-multiply,1168133630,47058858399,1654504928646
matrix-multiply,1183201563,48246263077,1654504928646
matrix-multiply,1174224996,49447308404,1654504928646
matrix-multiply,1169620855,50639394413,1654504928646
matrix-multiply,1173118190,51832834291,1654504928646
matrix-multiply,1173794266,53025570825,1654504928646
matrix-multiply,1184383095,54217966545,1654504928646
matrix-multiply,1174826141,55421905834,1654504928646
matrix-multiply,1174917120,56619447925,1654504928646
matrix-multiply,1173639244,57813558655,1654504928646
matrix-multiply,1175390679,59005028264,1654504928646
matrix-multiply,1175990008,60197869237,1654504928646
matrix-multiply,1169395998,61397166180,1654504928646
matrix-multiply,1171656042,62588606321,1654504928646
matrix-multiply,1167453317,63784906087,1654504928646
matrix-multiply,1172421344,64975169374,1654504928646
matrix-multiply,1170585197,66170167813,1654504928646
matrix-multiply,1175125172,67361850216,1654504928646
matrix-multiply,1172758196,68560764934,1654504928646
matrix-multiply,1174541813,69752720147,1654504928646
matrix-multiply,1168731080,70946864348,1654504928646
matrix-multiply,1174466771,72139099018,1654504928646
matrix-multiply,1177128524,73331344480,1654504928646
matrix-multiply,1172497050,74531950268,1654504928646
matrix-multiply,1169799375,75725052190,1654504928646
matrix-multiply,1169886213,76913455959,1654504928646
matrix-multiply,1191257754,78107578839,1654504928646
matrix-multiply,1184088249,79321433927,1654504928646
matrix-multiply,1170340335,80528426583,1654504928646
matrix-multiply,1173988597,81716712197,1654504928646
matrix-multiply,1172268464,82918357404,1654504928646
matrix-multiply,1173432330,84109912471,1654504928646
matrix-multiply,1180129637,85312392557,1654504928646
matrix-multiply,1173024968,86515673053,1654504928646
matrix-multiply,1174491260,87711820193,1654504928646
matrix-multiply,1170887214,88906855410,1654504928646
matrix-multiply,1171521794,90099968922,1654504928646
matrix-multiply,1180484229,91294234565,1654504928646
matrix-multiply,1172381167,92492574107,1654504928646
matrix-multiply,1169133833,93686875466,1654504928646
matrix-multiply,1172633673,94876054366,1654504928646
matrix-multiply,1170523529,96068666418,1654504928646
matrix-multiply,1179385228,97257277074,1654504928646
matrix-multiply,1175206043,98459610134,1654504928646
matrix-multiply,1176653574,99661917445,1654504928646
matrix-multiply,1185606842,100862545681,1654504928646
matrix-multiply,1169338072,102070439662,1654504928646
matrix-multiply,1181518246,103259357549,1654504928646
matrix-multiply,1167381066,104459682517,1654504928646
matrix-multiply,1173980535,105643795567,1654504928646
matrix-multiply,1167524939,106840502630,1654504928646
matrix-multiply,1174766544,108030887949,1654504928646
matrix-multiply,1180043312,109229233372,1654504928646
matrix-multiply,1168490948,110428047739,1654504928646
matrix-multiply,1171117905,111613902678,1654504928646
matrix-multiply,1168882361,112803694602,1654504928646
matrix-multiply,1168293410,113990773413,1654504928646
matrix-multiply,1178167658,115189508323,1654504928646
matrix-multiply,1169877002,116387328657,1654504928646
matrix-multiply,1173733108,117576763989,1654504928646
matrix-multiply,1172402476,118768060265,1654504928646
matrix-multiply,1170724952,119958952940,1654504928646
matrix-multiply,1173601917,121147815281,1654504928646
matrix-multiply,1180411372,122343998733,1654504928646
matrix-multiply,1174217332,123543801545,1654504928646
matrix-multiply,1174328695,124739007619,1654504928646
matrix-multiply,1171762224,125933167138,1654504928646
matrix-multiply,1173995347,127128096238,1654504928646
matrix-multiply,1184250140,128321125755,1654504928646
matrix-multiply,1171232441,129523661217,1654504928646
matrix-multiply,1172178024,130716969493,1654504928646
matrix-multiply,1170835278,131912662271,1654504928646
matrix-multiply,1172578221,133103195645,1654504928646
matrix-multiply,1181288948,134295139247,1654504928646
matrix-multiply,1169574853,135494886982,1654504928646
matrix-multiply,1173570808,136684062259,1654504928646
matrix-multiply,1172378118,137880771374,1654504928646
matrix-multiply,1175449044,139070727263,1654504928646
matrix-multiply,1180336986,140263826334,1654504928646
matrix-multiply,1171205526,141462176246,1654504928646
matrix-multiply,1171666025,142654364847,1654504928646
matrix-multiply,1171193954,143848578570,1654504928646
matrix-multiply,1170643652,145038750894,1654504928646
matrix-multiply,1182677556,146228811073,1654504928646
matrix-multiply,1171675567,147439656071,1654504928646
matrix-multiply,1174415440,148629117937,1654504928646
matrix-multiply,1170307584,149828794325,1654504928646
matrix-multiply,1168811180,151018778200,1654504928646
matrix-multiply,1178955769,152206145813,1654504928646
matrix-multiply,1169489417,153408231523,1654504928646
matrix-multiply,1169976391,154598023572,1654504928646
matrix-multiply,1172814070,155794021307,1654504928646
matrix-multiply,1170640758,156986081608,1654504928646
matrix-multiply,1173779172,158178807053,1654504928646
matrix-multiply,1175499489,159372531327,1654504928646
matrix-multiply,1170156485,160567558629,1654504928646
matrix-multiply,1171132610,161754821632,1654504928646
matrix-multiply,1174094452,162943680692,1654504928646
matrix-multiply,1174961865,164140495332,1654504928646
matrix-multiply,1202781683,165333303849,1654504928646
matrix-multiply,1176279225,166559484167,1654504928646
matrix-multiply,1173037326,167752830131,1654504928646
matrix-multiply,1172856229,168942367787,1654504928646
matrix-multiply,1171613704,170132181970,1654504928646
matrix-multiply,1181954084,171326828687,1654504928646
matrix-multiply,1195133776,172530645032,1654504928646
matrix-multiply,1168775973,173743565441,1654504928646
matrix-multiply,1172314043,174935332906,1654504928646
matrix-multiply,1173603167,176127117684,1654504928646
matrix-multiply,1176021939,177321150714,1654504928646
matrix-multiply,1175297962,178520509521,1654504928646
matrix-multiply,1176525232,179715511303,1654504928646
matrix-multiply,1173329261,180911569562,1654504928646
matrix-multiply,1170726428,182104289485,1654504928646
matrix-multiply,1183014542,183309291803,1654504928646
matrix-multiply,1170482419,184512965422,1654504928646
matrix-multiply,1172895492,185701356153,1654504928646
matrix-multiply,1169948258,186897399643,1654504928646
matrix-multiply,1176420781,188086543616,1654504928646
matrix-multiply,1180406703,189283061162,1654504928646
matrix-multiply,1174028286,190481375608,1654504928646
matrix-multiply,1174209330,191673254039,1654504928646
matrix-multiply,1171597812,192872200497,1654504928646
matrix-multiply,1171487785,194069134232,1654504928646
matrix-multiply,1176342336,195261314293,1654504928646
matrix-multiply,1173204004,196460634069,1654504928646
matrix-multiply,1188998574,197651289471,1654504928646
matrix-multiply,1173817263,198863595011,1654504928646
matrix-multiply,1173081510,200057947730,1654504928646
matrix-multiply,1183019284,201248775955,1654504928646
matrix-multiply,1172419081,202452310524,1654504928646
matrix-multiply,1173536597,203647894634,1654504928646
matrix-multiply,1170329903,204840449743,1654504928646
matrix-multiply,1173994387,206028759139,1654504928646
matrix-multiply,1180806112,207221407136,1654504928646
matrix-multiply,1173484306,208419726740,1654504928646
matrix-multiply,1171171685,209615942474,1654504928646
matrix-multiply,1170854315,210808936817,1654504928646
matrix-multiply,1171441397,211999024841,1654504928646
matrix-multiply,1180687947,213190035760,1654504928646
matrix-multiply,1172488417,214387843768,1654504928646
matrix-multiply,1171593063,215582699960,1654504928646
matrix-multiply,1168804267,216773495206,1654504928646
matrix-multiply,1170993764,217960358803,1654504928646
matrix-multiply,1182422550,219147954194,1654504928646
matrix-multiply,1178027427,220353786150,1654504928646
matrix-multiply,1170465739,221559288993,1654504928646
matrix-multiply,1173920939,222752365498,1654504928646
matrix-multiply,1168833109,223945427487,1654504928646
matrix-multiply,1174218298,225140491737,1654504928646
matrix-multiply,1178974380,226333895494,1654504928646
matrix-multiply,1174429744,227535631892,1654504928646
matrix-multiply,1170309492,228729077129,1654504928646
matrix-multiply,1176429929,229923706981,1654504928646
matrix-multiply,1180707691,231121856311,1654504928646
matrix-multiply,1186706451,232325882419,1654504928646
matrix-multiply,1176286004,233530590814,1654504928646
matrix-multiply,1176585588,234729261584,1654504928646
matrix-multiply,1178860184,235924071365,1654504928646
matrix-multiply,1176825946,237122825114,1654504928646
matrix-multiply,1188918026,238317240423,1654504928646
matrix-multiply,1176994257,239529045330,1654504928646
matrix-multiply,1175268676,240729304998,1654504928646
matrix-multiply,1180058914,241925814385,1654504928646
matrix-multiply,1182323913,243123834094,1654504928646
matrix-multiply,1184352064,244325972994,1654504928646
matrix-multiply,1180175717,245529971660,1654504928646
matrix-multiply,1181412094,246728494334,1654504928646
matrix-multiply,1179009873,247933153899,1654504928646
matrix-multiply,1178231144,249130206986,1654504928646
matrix-multiply,1184598875,250326183272,1654504928646
matrix-multiply,1176331910,251533163865,1654504928646
matrix-multiply,1182264770,252736657796,1654504928646
matrix-multiply,1178041881,253941097338,1654504928646
matrix-multiply,1184101623,255136274787,1654504928646
matrix-multiply,1185245112,256342685210,1654504928646
matrix-multiply,1181563920,257555168555,1654504928646
matrix-multiply,1182138060,258760646668,1654504928646
matrix-multiply,1180573634,259962146219,1654504928646
matrix-multiply,1176133534,261165460060,1654504928646
matrix-multiply,1201640095,262361130540,1654504928646
matrix-multiply,1175899827,263580442748,1654504928646
matrix-multiply,1175906398,264773939744,1654504928646
matrix-multiply,1180475239,265977100233,1654504928646
matrix-multiply,1177661672,267179795167,1654504928646
matrix-multiply,1185353213,268378374435,1654504928646
matrix-multiply,1182554029,269583867492,1654504928646
matrix-multiply,1176904733,270789117099,1654504928646
matrix-multiply,1180146994,271998385148,1654504928646
matrix-multiply,1188462960,273196251044,1654504928646
matrix-multiply,1178149585,274408171586,1654504928646
matrix-multiply,1180859639,275605971189,1654504928646
matrix-multiply,1177573302,276811288418,1654504928646
matrix-multiply,1180640324,278010847233,1654504928646
matrix-multiply,1184040654,279216721163,1654504928646
matrix-multiply,1179731285,280420904712,1654504928646
matrix-multiply,1175838396,281623033011,1654504928646
matrix-multiply,1177288054,282821775458,1654504928646
matrix-multiply,1180780581,284021922898,1654504928646
matrix-multiply,1189783109,285224995592,1654504928646
matrix-multiply,1181600349,286437407474,1654504928646
matrix-multiply,1183026475,287641471761,1654504928646
matrix-multiply,1181745296,288843883071,1654504928646
matrix-multiply,1177222657,290055400948,1654504928646
matrix-multiply,1183816788,291253021800,1654504928646
matrix-multiply,1177034858,292460173436,1654504928646
matrix-multiply,1181184966,293655949743,1654504928646
matrix-multiply,1178708719,294860193557,1654504928646
matrix-multiply,1182674752,296056261926,1654504928646
matrix-multiply,1190600186,297256485214,1654504928646
matrix-multiply,1180526405,298464846337,1654504928646
matrix-multiply,1184204090,299666928055,1654504928646
matrix-multiply,1181253714,300874476857,1654504928646
matrix-multiply,1180280763,302072712191,1654504928646
matrix-multiply,1186016440,303275839344,1654504928646
matrix-multiply,1176248648,304483670643,1654504928646
matrix-multiply,1176593617,305677862755,1654504928646
matrix-multiply,1179179780,306875172250,1654504928646
matrix-multiply,1182767129,308077004070,1654504928646
matrix-multiply,1187933449,309287040050,1654504928646
matrix-multiply,1180870271,310498543637,1654504928646
matrix-multiply,1176350162,311697790621,1654504928646
matrix-multiply,1177561116,312891740166,1654504928646
matrix-multiply,1180060434,314091879081,1654504928646
matrix-multiply,1185375944,315295053583,1654504928646
matrix-multiply,1180510121,316504000733,1654504928646
matrix-multiply,1179795116,317707498504,1654504928646
matrix-multiply,1182400466,318907261907,1654504928646
matrix-multiply,1177173200,320112315100,1654504928646
matrix-multiply,1186855003,321307215879,1654504928646
matrix-multiply,1176826443,322511876177,1654504928646
matrix-multiply,1181738296,323710553792,1654504928646
matrix-multiply,1181765569,324909856138,1654504928646
matrix-multiply,1180319036,326114440596,1654504928646
matrix-multiply,1204618145,327317244505,1654504928646
matrix-multiply,1183779294,328544774713,1654504928646
matrix-multiply,1179450713,329754188443,1654504928646
matrix-multiply,1176860578,330951575604,1654504928646
matrix-multiply,1179028665,332149711591,1654504928646
matrix-multiply,1187804179,333346335447,1654504928646
matrix-multiply,1177175644,334557314349,1654504928646
matrix-multiply,1182256064,335751993555,1654504928646
matrix-multiply,1178058244,336956507576,1654504928646
matrix-multiply,1186789497,338159893257,1654504928646
matrix-multiply,1182339048,339372421302,1654504928646
matrix-multiply,1177691678,340573063206,1654504928646
matrix-multiply,1182336650,341768209165,1654504928646
matrix-multiply,1178411730,342970822920,1654504928646
matrix-multiply,1178698779,344168256410,1654504928646
matrix-multiply,1177967078,345368095495,1654504928646
matrix-multiply,1175844848,346562842444,1654504928646
matrix-multiply,1183054695,347756399457,1654504928646
matrix-multiply,1176471525,348968125686,1654504928646
matrix-multiply,1176163763,350163765187,1654504928646
matrix-multiply,1180035733,351360546835,1654504928646
matrix-multiply,1176600121,352559166270,1654504928646
matrix-multiply,1176148557,353757743759,1654504928646
matrix-multiply,1178041917,354950426608,1654504928646
matrix-multiply,1177677363,356151206496,1654504928646
matrix-multiply,1186670565,357346772638,1654504928646
matrix-multiply,1179645108,358553608248,1654504928646
matrix-multiply,1179840785,359755748215,1654504928646
matrix-multiply,1181241186,360954340052,1654504928646
matrix-multiply,1178322699,362153601535,1654504928646
matrix-multiply,1184554109,363354146023,1654504928646
matrix-multiply,1177647152,364557132460,1654504928646
matrix-multiply,1178480610,365757770989,1654504928646
matrix-multiply,1177835324,366954967358,1654504928646
matrix-multiply,1181371066,368152863177,1654504928646
matrix-multiply,1185949444,369351360229,1654504928646
matrix-multiply,1181552841,370556639129,1654504928646
matrix-multiply,1181624166,371757092782,1654504928646
matrix-multiply,1181279923,372959211300,1654504928646
matrix-multiply,1178442899,374158216341,1654504928646
matrix-multiply,1186173945,375357817295,1654504928646
matrix-multiply,1177319331,376564112588,1654504928646
matrix-multiply,1183491353,377765648043,1654504928646
matrix-multiply,1179868733,378969187174,1654504928646
matrix-multiply,1180843047,380174822993,1654504928646
matrix-multiply,1182782272,381375197103,1654504928646
