benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,1035302121,737605317,1654447494193
matrix-multiply,947383979,1793190612,1654447494193
matrix-multiply,955818397,2763777614,1654447494193
matrix-multiply,956990090,3744197223,1654447494193
matrix-multiply,950549000,4723695449,1654447494193
matrix-multiply,972467979,5699896266,1654447494193
matrix-multiply,1020639905,6695011233,1654447494193
matrix-multiply,965324970,7738805850,1654447494193
matrix-multiply,959065070,8729385180,1654447494193
matrix-multiply,959752253,9714959259,1654447494193
matrix-multiply,959718780,10701254093,1654447494193
matrix-multiply,960189755,11687031004,1654447494193
matrix-multiply,964981664,12671211283,1654447494193
matrix-multiply,958041226,13659470971,1654447494193
matrix-multiply,958538902,14641925445,1654447494193
matrix-multiply,957801685,15628666238,1654447494193
matrix-multiply,957396253,16613108980,1654447494193
matrix-multiply,958509697,17598346326,1654447494193
matrix-multiply,957146263,18581298707,1654447494193
matrix-multiply,957241121,19562314877,1654447494193
matrix-multiply,957714973,20544695602,1654447494193
matrix-multiply,952463380,21525928790,1654447494193
matrix-multiply,961554891,22503368537,1654447494193
matrix-multiply,968632508,23490129467,1654447494193
matrix-multiply,960754236,24484325697,1654447494193
matrix-multiply,962377889,25470425144,1654447494193
matrix-multiply,960708010,26457310628,1654447494193
matrix-multiply,963447109,27441782305,1654447494193
matrix-multiply,963990491,28430419874,1654447494193
matrix-multiply,963511169,29417562382,1654447494193
matrix-multiply,962459943,30405583963,1654447494193
matrix-multiply,963399069,31392511987,1654447494193
matrix-multiply,963141375,32378970439,1654447494193
matrix-multiply,968596481,33364692306,1654447494193
matrix-multiply,964170740,34356575597,1654447494193
matrix-multiply,963379342,35343546973,1654447494193
matrix-multiply,963949524,36333348601,1654447494193
matrix-multiply,972448373,37320649937,1654447494193
matrix-multiply,963340739,38318789541,1654447494193
matrix-multiply,965108292,39305953068,1654447494193
matrix-multiply,963213981,40292950654,1654447494193
matrix-multiply,963704653,41280375663,1654447494193
matrix-multiply,963558048,42271469770,1654447494193
matrix-multiply,968862120,43255997983,1654447494193
matrix-multiply,963694715,44250518602,1654447494193
matrix-multiply,964685488,45236351558,1654447494193
matrix-multiply,963630033,46225707297,1654447494193
matrix-multiply,963887407,47210380723,1654447494193
matrix-multiply,966276900,48196455393,1654447494193
matrix-multiply,963623361,49185594365,1654447494193
matrix-multiply,964857891,50173428804,1654447494193
matrix-multiply,963720342,51165055102,1654447494193
matrix-multiply,963699644,52154481884,1654447494193
matrix-multiply,969400893,53142673394,1654447494193
matrix-multiply,965423064,54135419267,1654447494193
matrix-multiply,963885463,55121976635,1654447494193
matrix-multiply,964037489,56111190016,1654447494193
matrix-multiply,963706827,57095710064,1654447494193
matrix-multiply,964008495,58082301696,1654447494193
matrix-multiply,963725713,59070506020,1654447494193
matrix-multiply,965591080,60058209303,1654447494193
matrix-multiply,965420129,61046471576,1654447494193
matrix-multiply,964595428,62036825381,1654447494193
matrix-multiply,970628841,63024066034,1654447494193
matrix-multiply,963824278,64017463091,1654447494193
matrix-multiply,967464071,65006690519,1654447494193
matrix-multiply,975460345,65998323729,1654447494193
matrix-multiply,968185568,66999833629,1654447494193
matrix-multiply,971966376,67990084160,1654447494193
matrix-multiply,965314219,68985775060,1654447494193
matrix-multiply,969213420,69977852666,1654447494193
matrix-multiply,965517231,70971184029,1654447494193
matrix-multiply,965286727,71962033527,1654447494193
matrix-multiply,972822175,72949922478,1654447494193
matrix-multiply,966664408,73947066439,1654447494193
matrix-multiply,966092483,74937174713,1654447494193
matrix-multiply,968852733,75925554577,1654447494193
matrix-multiply,966223229,76916378847,1654447494193
matrix-multiply,966747043,77904506758,1654447494193
matrix-multiply,967202840,78892403464,1654447494193
matrix-multiply,967550243,79884399467,1654447494193
matrix-multiply,966936539,80876259835,1654447494193
matrix-multiply,968352913,81866130852,1654447494193
matrix-multiply,975242486,82856036585,1654447494193
matrix-multiply,968379943,83859739087,1654447494193
matrix-multiply,968451618,84849458951,1654447494193
matrix-multiply,969182362,85841978287,1654447494193
matrix-multiply,970074579,86834781648,1654447494193
matrix-multiply,968432191,87827956157,1654447494193
matrix-multiply,968836642,88820537600,1654447494193
matrix-multiply,969011902,89813743187,1654447494193
matrix-multiply,968272912,90805747816,1654447494193
matrix-multiply,969043250,91795369846,1654447494193
matrix-multiply,974134412,92788182103,1654447494193
matrix-multiply,968307677,93784869627,1654447494193
matrix-multiply,968416502,94774480515,1654447494193
matrix-multiply,971638319,95764638242,1654447494193
matrix-multiply,969971355,96757621090,1654447494193
matrix-multiply,976526669,97749098889,1654447494193
matrix-multiply,969956076,98748330395,1654447494193
matrix-multiply,969930278,99743809135,1654447494193
matrix-multiply,971420980,100739075968,1654447494193
matrix-multiply,974093815,101736636312,1654447494193
matrix-multiply,975099156,102733831279,1654447494193
matrix-multiply,968349877,103736047326,1654447494193
matrix-multiply,967986073,104725600827,1654447494193
matrix-multiply,968127949,105718427522,1654447494193
matrix-multiply,969599987,106713395322,1654447494193
matrix-multiply,969807717,107705295234,1654447494193
matrix-multiply,976659800,108701389101,1654447494193
matrix-multiply,978478108,109703057048,1654447494193
matrix-multiply,970115055,110703131579,1654447494193
matrix-multiply,970693864,111695196471,1654447494193
matrix-multiply,975790346,112691385677,1654447494193
matrix-multiply,969880634,113692590624,1654447494193
matrix-multiply,969602071,114690099731,1654447494193
matrix-multiply,970105868,115681794648,1654447494193
matrix-multiply,969918627,116681708186,1654447494193
matrix-multiply,971815853,117675519572,1654447494193
matrix-multiply,971955295,118673642144,1654447494193
matrix-multiply,970152225,119668392415,1654447494193
matrix-multiply,970144060,120661791886,1654447494193
matrix-multiply,969754147,121655250208,1654447494193
matrix-multiply,974892207,122649092412,1654447494193
matrix-multiply,970518955,123650659138,1654447494193
matrix-multiply,972000049,124645489590,1654447494193
matrix-multiply,976347532,125641975124,1654447494193
matrix-multiply,977293572,126642035728,1654447494193
matrix-multiply,975130755,127643608717,1654447494193
matrix-multiply,967639381,128643095933,1654447494193
matrix-multiply,967931000,129635857986,1654447494193
matrix-multiply,968039734,130624904173,1654447494193
matrix-multiply,967714763,131618837979,1654447494193
matrix-multiply,975845639,132610098700,1654447494193
matrix-multiply,971085600,133610561852,1654447494193
matrix-multiply,977261721,134604217585,1654447494193
matrix-multiply,966699094,135603095155,1654447494193
matrix-multiply,966340840,136592020986,1654447494193
matrix-multiply,967422664,137582428402,1654447494193
matrix-multiply,966293040,138573891994,1654447494193
matrix-multiply,966453351,139567754356,1654447494193
matrix-multiply,966116708,140556267711,1654447494193
matrix-multiply,966011240,141543713389,1654447494193
matrix-multiply,996751092,142531798630,1654447494193
matrix-multiply,964844817,143552610218,1654447494193
matrix-multiply,965182813,144539661153,1654447494193
matrix-multiply,964941509,145526371699,1654447494193
matrix-multiply,963731434,146517702341,1654447494193
matrix-multiply,970169198,147507805515,1654447494193
matrix-multiply,961071303,148503075463,1654447494193
matrix-multiply,971598344,149489053202,1654447494193
matrix-multiply,960582904,150488006164,1654447494193
matrix-multiply,960475773,151469378854,1654447494193
matrix-multiply,960401834,152453998309,1654447494193
matrix-multiply,968083305,153436955358,1654447494193
matrix-multiply,960652144,154426321657,1654447494193
matrix-multiply,960364333,155409351523,1654447494193
matrix-multiply,960622078,156391681272,1654447494193
matrix-multiply,967732947,157376725245,1654447494193
matrix-multiply,960988507,158366704566,1654447494193
matrix-multiply,961769094,159349580323,1654447494193
matrix-multiply,961230532,160331915603,1654447494193
matrix-multiply,960833345,161317902729,1654447494193
matrix-multiply,961337002,162304262786,1654447494193
matrix-multiply,971209002,163291277974,1654447494193
matrix-multiply,961136525,164288433547,1654447494193
matrix-multiply,961241332,165271950299,1654447494193
matrix-multiply,960777881,166257955338,1654447494193
matrix-multiply,963621688,167243567779,1654447494193
matrix-multiply,963205395,168230234994,1654447494193
matrix-multiply,963248867,169219409101,1654447494193
matrix-multiply,963554281,170205612824,1654447494193
matrix-multiply,962967859,171194848377,1654447494193
matrix-multiply,963006361,172181798874,1654447494193
matrix-multiply,968070932,173174647240,1654447494193
matrix-multiply,962722016,174168376882,1654447494193
matrix-multiply,963038551,175156069524,1654447494193
matrix-multiply,964076563,176146428890,1654447494193
matrix-multiply,963703792,177135275492,1654447494193
matrix-multiply,963926440,178124411338,1654447494193
matrix-multiply,963268022,179112207645,1654447494193
matrix-multiply,963562326,180099577009,1654447494193
matrix-multiply,962901162,181092315879,1654447494193
matrix-multiply,962912264,182081290381,1654447494193
matrix-multiply,983349277,183070312392,1654447494193
matrix-multiply,963090278,184075898806,1654447494193
matrix-multiply,964184396,185064603631,1654447494193
matrix-multiply,973232937,186052005647,1654447494193
matrix-multiply,969786608,187050073666,1654447494193
matrix-multiply,968106970,188043259706,1654447494193
matrix-multiply,962983658,189036539132,1654447494193
matrix-multiply,963764826,190023428885,1654447494193
matrix-multiply,964345358,191008340769,1654447494193
matrix-multiply,963318568,191994104715,1654447494193
matrix-multiply,970355798,192978559320,1654447494193
matrix-multiply,963393809,193971286026,1654447494193
matrix-multiply,963573216,194956137257,1654447494193
matrix-multiply,963278402,195943163075,1654447494193
matrix-multiply,962956607,196931556495,1654447494193
matrix-multiply,963122789,197919195607,1654447494193
matrix-multiply,985245322,198909707589,1654447494193
matrix-multiply,965880464,199917025839,1654447494193
matrix-multiply,965699975,200908209184,1654447494193
matrix-multiply,965644560,201898677585,1654447494193
matrix-multiply,970272922,202889473562,1654447494193
matrix-multiply,966558369,203884942063,1654447494193
matrix-multiply,966014496,204875232008,1654447494193
matrix-multiply,965406694,205870016363,1654447494193
matrix-multiply,965752493,206859091996,1654447494193
matrix-multiply,965865065,207849384636,1654447494193
matrix-multiply,965596430,208839811088,1654447494193
matrix-multiply,967223900,209828817721,1654447494193
matrix-multiply,965579098,210820010273,1654447494193
matrix-multiply,965662705,211808150687,1654447494193
matrix-multiply,970736444,212798267016,1654447494193
matrix-multiply,965830821,213790526745,1654447494193
matrix-multiply,965634592,214781751027,1654447494193
matrix-multiply,966007233,215770394747,1654447494193
matrix-multiply,965767151,216759009744,1654447494193
matrix-multiply,973158637,217746012980,1654447494193
matrix-multiply,965658096,218742903745,1654447494193
matrix-multiply,967295865,219730290232,1654447494193
matrix-multiply,965761049,220720305040,1654447494193
matrix-multiply,965718490,221708389819,1654447494193
matrix-multiply,970267683,222698530123,1654447494193
matrix-multiply,967594216,223693558177,1654447494193
matrix-multiply,965506000,224686131806,1654447494193
matrix-multiply,965443663,225675177542,1654447494193
matrix-multiply,965831442,226662260037,1654447494193
matrix-multiply,966089507,227650780836,1654447494193
matrix-multiply,965687281,228642360727,1654447494193
matrix-multiply,966256251,229630625344,1654447494193
matrix-multiply,964943793,230621449544,1654447494193
matrix-multiply,963931089,231609722257,1654447494193
matrix-multiply,970214442,232597185318,1654447494193
matrix-multiply,963646955,233590131407,1654447494193
matrix-multiply,963692311,234574737696,1654447494193
matrix-multiply,962898788,235561225213,1654447494193
matrix-multiply,961517251,236548594728,1654447494193
matrix-multiply,963609345,237535185458,1654447494193
matrix-multiply,962016480,238521323197,1654447494193
matrix-multiply,961726695,239508322907,1654447494193
matrix-multiply,961653066,240493107081,1654447494193
matrix-multiply,961592152,241480956528,1654447494193
matrix-multiply,963570551,242469351351,1654447494193
matrix-multiply,969555544,243458128762,1654447494193
matrix-multiply,963756832,244449109596,1654447494193
matrix-multiply,969163526,245438668187,1654447494193
matrix-multiply,969498135,246431846563,1654447494193
matrix-multiply,974056455,247427317128,1654447494193
matrix-multiply,963797198,248427310957,1654447494193
matrix-multiply,964578216,249417466309,1654447494193
matrix-multiply,963700746,250407866462,1654447494193
matrix-multiply,963634852,251399173500,1654447494193
matrix-multiply,963971275,252385604810,1654447494193
matrix-multiply,970030206,253376690602,1654447494193
matrix-multiply,964908837,254368316259,1654447494193
matrix-multiply,963557226,255354085886,1654447494193
matrix-multiply,963438513,256338162089,1654447494193
matrix-multiply,965014576,257323037354,1654447494193
matrix-multiply,965631496,258310198417,1654447494193
matrix-multiply,965650902,259298839042,1654447494193
matrix-multiply,965399630,260286166397,1654447494193
matrix-multiply,973284894,261276708006,1654447494193
matrix-multiply,964034002,262276155428,1654447494193
matrix-multiply,970468270,263266516226,1654447494193
matrix-multiply,962698873,264259702246,1654447494193
matrix-multiply,963395102,265245886252,1654447494193
matrix-multiply,963944214,266236131083,1654447494193
matrix-multiply,964021800,267222445143,1654447494193
matrix-multiply,962457268,268212526346,1654447494193
matrix-multiply,963132748,269198012801,1654447494193
matrix-multiply,963013885,270185355735,1654447494193
matrix-multiply,961891124,271173926118,1654447494193
matrix-multiply,962871858,272160693400,1654447494193
matrix-multiply,968481113,273148209521,1654447494193
matrix-multiply,987897968,274143026698,1654447494193
matrix-multiply,969870666,275154189575,1654447494193
matrix-multiply,962534093,276150365717,1654447494193
matrix-multiply,970316574,277136635104,1654447494193
matrix-multiply,963136896,278128110939,1654447494193
matrix-multiply,963265628,279113484371,1654447494193
matrix-multiply,964254928,280099195938,1654447494193
matrix-multiply,963290915,281088234401,1654447494193
matrix-multiply,963103413,282075982387,1654447494193
matrix-multiply,971886646,283063864055,1654447494193
matrix-multiply,963363321,284060775780,1654447494193
matrix-multiply,964226615,285047194126,1654447494193
matrix-multiply,962110005,286036259880,1654447494193
matrix-multiply,962009155,287023476197,1654447494193
matrix-multiply,961833134,288011283575,1654447494193
matrix-multiply,961906152,288997185971,1654447494193
matrix-multiply,962047538,289985209385,1654447494193
matrix-multiply,961702159,290971156846,1654447494193
matrix-multiply,961895833,291956683256,1654447494193
matrix-multiply,966950355,292939885396,1654447494193
matrix-multiply,960870635,293930887290,1654447494193
matrix-multiply,960961887,294915764920,1654447494193
matrix-multiply,960822254,295900746475,1654447494193
matrix-multiply,961337644,296885149953,1654447494193
matrix-multiply,962008925,297870794716,1654447494193
matrix-multiply,961447941,298853986165,1654447494193
matrix-multiply,961375384,299841167707,1654447494193
matrix-multiply,961269796,300824507465,1654447494193
matrix-multiply,961195596,301811326776,1654447494193
matrix-multiply,969799743,302796456409,1654447494193
matrix-multiply,960994939,303790996195,1654447494193
matrix-multiply,960781408,304777516272,1654447494193
matrix-multiply,973340900,305763791239,1654447494193
matrix-multiply,987242727,306759950379,1654447494193
matrix-multiply,990897287,307773502619,1654447494193
matrix-multiply,962360386,308789602539,1654447494193
matrix-multiply,962884582,309776380000,1654447494193
matrix-multiply,962993216,310765360003,1654447494193
matrix-multiply,963581361,311754865564,1654447494193
matrix-multiply,969132678,312742752141,1654447494193
matrix-multiply,961646524,313737031697,1654447494193
matrix-multiply,962230361,314725724149,1654447494193
matrix-multiply,962624883,315713475712,1654447494193
matrix-multiply,962627298,316702035093,1654447494193
matrix-multiply,963057917,317686458249,1654447494193
matrix-multiply,963507733,318673527770,1654447494193
matrix-multiply,963583646,319658720201,1654447494193
matrix-multiply,962559351,320648576511,1654447494193
matrix-multiply,962921611,321634360976,1654447494193
matrix-multiply,967854676,322619576732,1654447494193
matrix-multiply,962695977,323609298218,1654447494193
matrix-multiply,980381977,324595216385,1654447494193
matrix-multiply,962709232,325601619774,1654447494193
matrix-multiply,962673475,326589147446,1654447494193
matrix-multiply,963243236,327576060513,1654447494193
matrix-multiply,962674908,328564122810,1654447494193
matrix-multiply,963321343,329550180138,1654447494193
matrix-multiply,962280406,330540118893,1654447494193
matrix-multiply,962732415,331525261912,1654447494193
matrix-multiply,962355617,332513184226,1654447494193
matrix-multiply,966666231,333501895634,1654447494193
matrix-multiply,962299522,334492180509,1654447494193
matrix-multiply,962807777,335476390895,1654447494193
matrix-multiply,962899680,336467733860,1654447494193
matrix-multiply,969894712,337453881447,1654447494193
matrix-multiply,962790024,338447172355,1654447494193
matrix-multiply,963110105,339436120017,1654447494193
matrix-multiply,962503585,340425557319,1654447494193
matrix-multiply,966327725,341410814943,1654447494193
matrix-multiply,964202600,342399793693,1654447494193
matrix-multiply,968899721,343389848837,1654447494193
matrix-multiply,964597292,344382396497,1654447494193
matrix-multiply,963659899,345372079161,1654447494193
matrix-multiply,963282850,346361973232,1654447494193
matrix-multiply,962312787,347351090733,1654447494193
matrix-multiply,963147947,348336628644,1654447494193
matrix-multiply,963137478,349324057350,1654447494193
matrix-multiply,962677833,350309768377,1654447494193
matrix-multiply,962634110,351296908421,1654447494193
matrix-multiply,962790284,352282870409,1654447494193
matrix-multiply,968363773,353271236217,1654447494193
matrix-multiply,964642226,354262280701,1654447494193
matrix-multiply,962776248,355248515773,1654447494193
matrix-multiply,962731143,356235183358,1654447494193
matrix-multiply,962898377,357220137091,1654447494193
matrix-multiply,962494157,358205982210,1654447494193
matrix-multiply,962700386,359194095793,1654447494193
matrix-multiply,962761059,360177500745,1654447494193
matrix-multiply,962207619,361167834933,1654447494193
matrix-multiply,962583255,362154973935,1654447494193
matrix-multiply,968068958,363145628245,1654447494193
matrix-multiply,962698602,364135901228,1654447494193
matrix-multiply,965127438,365126108128,1654447494193
matrix-multiply,971256201,366119361394,1654447494193
matrix-multiply,972952089,367113910026,1654447494193
matrix-multiply,963395903,368109283288,1654447494193
matrix-multiply,963399019,369094493584,1654447494193
matrix-multiply,964101620,370081783208,1654447494193
matrix-multiply,964106469,371068206855,1654447494193
matrix-multiply,963313519,372060491580,1654447494193
matrix-multiply,968292569,373046919545,1654447494193
matrix-multiply,962773022,374042204151,1654447494193
matrix-multiply,963152184,375029769464,1654447494193
matrix-multiply,962644180,376019853832,1654447494193
matrix-multiply,963233077,377009127046,1654447494193
matrix-multiply,963088285,377997372157,1654447494193
matrix-multiply,963032860,378987871807,1654447494193
matrix-multiply,1089599564,379976760838,1654447494193
matrix-multiply,964345058,381094484787,1654447494193
matrix-multiply,963297578,382084121024,1654447494193
matrix-multiply,969655001,383073987613,1654447494193
matrix-multiply,963446388,384066908926,1654447494193
matrix-multiply,963743236,385052326681,1654447494193
matrix-multiply,962031878,386040240139,1654447494193
matrix-multiply,962170849,387023415849,1654447494193
matrix-multiply,961847983,388012119031,1654447494193
matrix-multiply,962020307,389000645000,1654447494193
matrix-multiply,963267872,389985100847,1654447494193
matrix-multiply,963421641,390974251190,1654447494193
matrix-multiply,963463740,391959776708,1654447494193
matrix-multiply,969511000,392946692980,1654447494193
matrix-multiply,963163205,393937713219,1654447494193
matrix-multiply,963469180,394923705885,1654447494193
matrix-multiply,970925659,395912703170,1654447494193
matrix-multiply,963517582,396907125053,1654447494193
matrix-multiply,971213300,397898905942,1654447494193
matrix-multiply,963028001,398897680609,1654447494193
matrix-multiply,1081707456,399885437502,1654447494193
matrix-multiply,963653146,400990895060,1654447494193
matrix-multiply,963774235,401980322463,1654447494193
matrix-multiply,1085692839,402965877817,1654447494193
matrix-multiply,963698301,404079284680,1654447494193
matrix-multiply,964164437,405066956213,1654447494193
matrix-multiply,963475192,406055558124,1654447494193
matrix-multiply,963473138,407043529300,1654447494193
matrix-multiply,964754156,408035004845,1654447494193
matrix-multiply,964056865,409022582962,1654447494193
matrix-multiply,964183043,410009622185,1654447494193
matrix-multiply,963824579,411000088753,1654447494193
matrix-multiply,963324249,411990031956,1654447494193
matrix-multiply,968141986,412980668032,1654447494193
matrix-multiply,964105307,413971298718,1654447494193
matrix-multiply,964337503,414960142425,1654447494193
matrix-multiply,965073937,415949699753,1654447494193
matrix-multiply,974983518,416937709952,1654447494193
matrix-multiply,967410090,417939457518,1654447494193
matrix-multiply,966734740,418931210224,1654447494193
matrix-multiply,967483768,419921988347,1654447494193
matrix-multiply,966301626,420912126046,1654447494193
matrix-multiply,965854715,421901405923,1654447494193
matrix-multiply,972676631,422894362231,1654447494193
matrix-multiply,965775246,423891480023,1654447494193
matrix-multiply,966493977,424883950027,1654447494193
matrix-multiply,974619193,425876807189,1654447494193
matrix-multiply,968558469,426881450489,1654447494193
matrix-multiply,973537940,427877662078,1654447494193
matrix-multiply,963762262,428874015072,1654447494193
matrix-multiply,963862982,429861622133,1654447494193
matrix-multiply,964636415,430847606945,1654447494193
matrix-multiply,965943122,431835674612,1654447494193
matrix-multiply,971254157,432826986429,1654447494193
matrix-multiply,965732235,433824867987,1654447494193
matrix-multiply,966103042,434815039650,1654447494193
matrix-multiply,966075040,435804172309,1654447494193
matrix-multiply,966355517,436795011888,1654447494193
matrix-multiply,965366919,437788039831,1654447494193
matrix-multiply,965757022,438777793729,1654447494193
matrix-multiply,965734640,439767716223,1654447494193
matrix-multiply,971342173,440758770996,1654447494193
matrix-multiply,962093885,441757114954,1654447494193
matrix-multiply,967647325,442745641815,1654447494193
matrix-multiply,962524705,443741038030,1654447494193
matrix-multiply,964118672,444725654960,1654447494193
matrix-multiply,962833085,445711894370,1654447494193
matrix-multiply,962702739,446699554772,1654447494193
matrix-multiply,963458190,447687301616,1654447494193
matrix-multiply,962709813,448676974110,1654447494193
matrix-multiply,963824750,449665485291,1654447494193
matrix-multiply,962844747,450654627529,1654447494193
matrix-multiply,963144690,451643638981,1654447494193
matrix-multiply,969678344,452631841642,1654447494193
matrix-multiply,963816694,453624415060,1654447494193
matrix-multiply,963342031,454609727468,1654447494193
matrix-multiply,963467988,455598355278,1654447494193
matrix-multiply,962876206,456586756743,1654447494193
matrix-multiply,970557858,457574247025,1654447494193
matrix-multiply,963302117,458570167766,1654447494193
matrix-multiply,963393899,459557927705,1654447494193
matrix-multiply,963064289,460547597054,1654447494193
matrix-multiply,963653998,461532196200,1654447494193
matrix-multiply,963261480,462519882741,1654447494193
matrix-multiply,965864414,463510946721,1654447494193
matrix-multiply,963412765,464501240133,1654447494193
matrix-multiply,964710795,465487784657,1654447494193
matrix-multiply,966503806,466474495574,1654447494193
matrix-multiply,963181750,467466010763,1654447494193
matrix-multiply,962999288,468455721188,1654447494193
matrix-multiply,963636225,469441699217,1654447494193
matrix-multiply,963461837,470431056118,1654447494193
matrix-multiply,963469602,471418077879,1654447494193
matrix-multiply,963345297,472408335965,1654447494193
matrix-multiply,969517351,473395551410,1654447494193
matrix-multiply,963390342,474390370861,1654447494193
matrix-multiply,962939064,475378157189,1654447494193
matrix-multiply,963076763,476362732942,1654447494193
matrix-multiply,963516670,477351317210,1654447494193
matrix-multiply,963667594,478339452625,1654447494193
matrix-multiply,963317926,479328198267,1654447494193
matrix-multiply,963683053,480316047844,1654447494193
matrix-multiply,963593374,481305024751,1654447494193
matrix-multiply,964203191,482293866123,1654447494193
matrix-multiply,986131998,483283398003,1654447494193
matrix-multiply,963225503,484290877656,1654447494193
matrix-multiply,966850198,485280015956,1654447494193
matrix-multiply,969992535,486271043729,1654447494193
matrix-multiply,973740711,487262287558,1654447494193
matrix-multiply,963543100,488256717266,1654447494193
matrix-multiply,963405030,489241991672,1654447494193
matrix-multiply,963931220,490227460583,1654447494193
matrix-multiply,963685668,491217912303,1654447494193
matrix-multiply,963943412,492203648637,1654447494193
matrix-multiply,969453130,493191331782,1654447494193
matrix-multiply,964032760,494184866818,1654447494193
matrix-multiply,970950917,495171423304,1654447494193
matrix-multiply,963773243,496168128971,1654447494193
matrix-multiply,964719411,497159986304,1654447494193
matrix-multiply,968652205,498152436691,1654447494193
matrix-multiply,965065442,499143337965,1654447494193
matrix-multiply,965097422,500132141997,1654447494193
matrix-multiply,964624112,501121008627,1654447494193
matrix-multiply,965804742,502112096552,1654447494193
matrix-multiply,970389381,503103789806,1654447494193
matrix-multiply,965511520,504097764599,1654447494193
matrix-multiply,965399690,505089170382,1654447494193
