benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,1212607362,732396458,1654505031389
matrix-multiply,1194767344,1966651677,1654505031389
matrix-multiply,1715873598,3181017263,1654505031389
matrix-multiply,1176136984,4915259450,1654505031389
matrix-multiply,1174728217,6110384021,1654505031389
matrix-multiply,1182141507,7303705963,1654505031389
matrix-multiply,1187556246,8503908347,1654505031389
matrix-multiply,1204618520,9709459575,1654505031389
matrix-multiply,1217623294,10931570374,1654505031389
matrix-multiply,1174276202,12166469903,1654505031389
matrix-multiply,1185294242,13358545525,1654505031389
matrix-multiply,1193629692,14561533878,1654505031389
matrix-multiply,1183701937,15773750768,1654505031389
matrix-multiply,1182413732,16976494131,1654505031389
matrix-multiply,1180846820,18177055582,1654505031389
matrix-multiply,1175596603,19376690269,1654505031389
matrix-multiply,1180878575,20571129081,1654505031389
matrix-multiply,1192676813,21772498919,1654505031389
matrix-multiply,1158327044,22984353650,1654505031389
matrix-multiply,1149369819,24161522530,1654505031389
matrix-multiply,1149214247,25329481673,1654505031389
matrix-multiply,1165134628,26497893867,1654505031389
matrix-multiply,1159650558,27682935722,1654505031389
matrix-multiply,1156213110,28861480079,1654505031389
matrix-multiply,1156765677,30036385269,1654505031389
matrix-multiply,1192937563,31211857387,1654505031389
matrix-multiply,1212339288,32425400220,1654505031389
matrix-multiply,1175058550,33656312300,1654505031389
matrix-multiply,1169423702,34850189176,1654505031389
matrix-multiply,1173114396,36039036561,1654505031389
matrix-multiply,1171475374,37230707176,1654505031389
matrix-multiply,1182448460,38420636683,1654505031389
matrix-multiply,1178276797,39621083891,1654505031389
matrix-multiply,1173434710,40817868968,1654505031389
matrix-multiply,1208991690,42010328504,1654505031389
matrix-multiply,1173123124,43237210916,1654505031389
matrix-multiply,1183987827,44429472915,1654505031389
matrix-multiply,1172675361,45631761207,1654505031389
matrix-multiply,1172173720,46823122303,1654505031389
matrix-multiply,1175541328,48013754261,1654505031389
matrix-multiply,1171683036,49207915034,1654505031389
matrix-multiply,1173678932,50397343540,1654505031389
matrix-multiply,1190941772,51590739895,1654505031389
matrix-multiply,1224158610,52804097485,1654505031389
matrix-multiply,1160304518,54046984358,1654505031389
matrix-multiply,1157755732,55225714504,1654505031389
matrix-multiply,1158209676,56402118884,1654505031389
matrix-multiply,1169343910,57579238901,1654505031389
matrix-multiply,1161009955,58767047738,1654505031389
matrix-multiply,1157750855,59946734879,1654505031389
matrix-multiply,1161590500,61123208507,1654505031389
matrix-multiply,1202908431,62303611714,1654505031389
matrix-multiply,1180117989,63525159453,1654505031389
matrix-multiply,1164831770,64724483915,1654505031389
matrix-multiply,1161002604,65907844798,1654505031389
matrix-multiply,1163352910,67087182519,1654505031389
matrix-multiply,1163596321,68269106560,1654505031389
matrix-multiply,1218189971,69451589474,1654505031389
matrix-multiply,1173250959,70688099640,1654505031389
matrix-multiply,1162564813,71880102100,1654505031389
matrix-multiply,1214477300,73061351006,1654505031389
matrix-multiply,1162049817,74294002632,1654505031389
matrix-multiply,1175116496,75474982222,1654505031389
matrix-multiply,1160858139,76668138544,1654505031389
matrix-multiply,1158246207,77847408332,1654505031389
matrix-multiply,1186052193,79024829007,1654505031389
matrix-multiply,1154056306,80229523326,1654505031389
matrix-multiply,1155801267,81402153453,1654505031389
matrix-multiply,1202834945,82577449810,1654505031389
matrix-multiply,1165018355,83798873137,1654505031389
matrix-multiply,1159815191,84982716580,1654505031389
matrix-multiply,1160761432,86159995762,1654505031389
matrix-multiply,1157261114,87339409556,1654505031389
matrix-multiply,1172738819,88515237114,1654505031389
matrix-multiply,1159121093,89705912740,1654505031389
matrix-multiply,1172025326,90883570813,1654505031389
matrix-multiply,1171353611,92073993088,1654505031389
matrix-multiply,1197621273,93263653612,1654505031389
matrix-multiply,1168042822,94479669033,1654505031389
matrix-multiply,1160150182,95665985748,1654505031389
matrix-multiply,1160736114,96844901124,1654505031389
matrix-multiply,1158960113,98024569440,1654505031389
matrix-multiply,1159258847,99202590846,1654505031389
matrix-multiply,1159490380,100381004430,1654505031389
matrix-multiply,1171850518,101559198576,1654505031389
matrix-multiply,1172709350,102749832230,1654505031389
matrix-multiply,1213209075,103942226270,1654505031389
matrix-multiply,1157463562,105173986951,1654505031389
matrix-multiply,1165446410,106350197021,1654505031389
matrix-multiply,1174961332,107534402966,1654505031389
matrix-multiply,1161765067,108727685372,1654505031389
matrix-multiply,1160713393,109907451129,1654505031389
matrix-multiply,1159421711,111087152555,1654505031389
matrix-multiply,1160305426,112264841268,1654505031389
matrix-multiply,1226595285,113443621663,1654505031389
matrix-multiply,1159992945,114688017728,1654505031389
matrix-multiply,1163454084,115867010984,1654505031389
matrix-multiply,1161844642,117049208656,1654505031389
matrix-multiply,1162630118,118229222436,1654505031389
matrix-multiply,1162849793,119410639847,1654505031389
matrix-multiply,1166630497,120593735214,1654505031389
matrix-multiply,1160602409,121779116974,1654505031389
matrix-multiply,1163746003,122958628899,1654505031389
matrix-multiply,1202267661,124141187860,1654505031389
matrix-multiply,1161932385,125362055126,1654505031389
matrix-multiply,1172568579,126542547567,1654505031389
matrix-multiply,1160844918,127733714037,1654505031389
matrix-multiply,1186746731,128913262122,1654505031389
matrix-multiply,1183067933,130118842978,1654505031389
matrix-multiply,1169817020,131320254288,1654505031389
matrix-multiply,1183650910,132508740074,1654505031389
matrix-multiply,1203642674,133710875308,1654505031389
matrix-multiply,1160355082,134932727138,1654505031389
matrix-multiply,1159295214,136111394714,1654505031389
matrix-multiply,1156064322,137289262703,1654505031389
matrix-multiply,1171203269,138463789509,1654505031389
matrix-multiply,1157582891,139653106904,1654505031389
matrix-multiply,1156527208,140828800117,1654505031389
matrix-multiply,1156236313,142004053122,1654505031389
matrix-multiply,1161192952,143178924385,1654505031389
matrix-multiply,1253403506,144358271121,1654505031389
matrix-multiply,1166520265,145629539273,1654505031389
matrix-multiply,1165571758,146814536101,1654505031389
matrix-multiply,1162287300,147998656017,1654505031389
matrix-multiply,1162764169,149179342495,1654505031389
matrix-multiply,1160739002,150360204324,1654505031389
matrix-multiply,1170369216,151540320795,1654505031389
matrix-multiply,1163714717,152729204272,1654505031389
matrix-multiply,1204349796,153911110844,1654505031389
matrix-multiply,1172612788,155133512383,1654505031389
matrix-multiply,1167314432,156324442970,1654505031389
matrix-multiply,1182285781,157510538608,1654505031389
matrix-multiply,1164056730,158711184115,1654505031389
matrix-multiply,1172146481,159893779139,1654505031389
matrix-multiply,1169502165,161084357069,1654505031389
matrix-multiply,1156543947,162272485020,1654505031389
matrix-multiply,1178876221,163447733754,1654505031389
matrix-multiply,1207740951,164645205665,1654505031389
matrix-multiply,1165806856,165871727076,1654505031389
matrix-multiply,1159491665,167055889897,1654505031389
matrix-multiply,1157045659,168233796278,1654505031389
matrix-multiply,1163098316,169409168613,1654505031389
matrix-multiply,1169780475,170592196664,1654505031389
matrix-multiply,1171519895,171780486709,1654505031389
matrix-multiply,1169198980,172970548727,1654505031389
matrix-multiply,1167107943,174157963625,1654505031389
matrix-multiply,1185752613,175343631732,1654505031389
