benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,968659078,716731014,1654512341925
matrix-multiply,987073017,1706343366,1654512341925
matrix-multiply,1148582625,2715379295,1654512341925
matrix-multiply,944040163,3887557621,1654512341925
matrix-multiply,929963609,4856572137,1654512341925
matrix-multiply,929169595,5812929057,1654512341925
matrix-multiply,928987683,6767212167,1654512341925
matrix-multiply,929371475,7721156821,1654512341925
matrix-multiply,932206314,8673642382,1654512341925
matrix-multiply,938399237,9631946973,1654512341925
matrix-multiply,932263562,10596675792,1654512341925
matrix-multiply,930173463,11555014376,1654512341925
matrix-multiply,929239707,12511810251,1654512341925
matrix-multiply,929028170,13468290151,1654512341925
matrix-multiply,929644449,14421610972,1654512341925
matrix-multiply,931487924,15375589931,1654512341925
matrix-multiply,929367217,16335931812,1654512341925
matrix-multiply,929893026,17290120034,1654512341925
matrix-multiply,930426809,18242338122,1654512341925
matrix-multiply,932516277,19195379348,1654512341925
matrix-multiply,932983065,20150179189,1654512341925
matrix-multiply,930316843,21105222188,1654512341925
matrix-multiply,930406451,22062208711,1654512341925
matrix-multiply,928678301,23020509766,1654512341925
matrix-multiply,931006869,23972079154,1654512341925
matrix-multiply,945725381,24927426395,1654512341925
matrix-multiply,935317434,25898254080,1654512341925
matrix-multiply,937032658,26858619275,1654512341925
matrix-multiply,932595266,27823299963,1654512341925
matrix-multiply,931580588,28783706466,1654512341925
matrix-multiply,931246860,29742178933,1654512341925
matrix-multiply,935771017,30700191995,1654512341925
matrix-multiply,935070489,31661933919,1654512341925
matrix-multiply,936355776,32618997246,1654512341925
matrix-multiply,935436167,33584926121,1654512341925
matrix-multiply,934381614,34550858393,1654512341925
matrix-multiply,934018992,35507381194,1654512341925
matrix-multiply,932582261,36466864701,1654512341925
matrix-multiply,932744756,37423224406,1654512341925
matrix-multiply,935241511,38380241606,1654512341925
matrix-multiply,934788339,39337114776,1654512341925
matrix-multiply,932762090,40298158226,1654512341925
matrix-multiply,934233927,41257750708,1654512341925
matrix-multiply,934120093,42218374770,1654512341925
matrix-multiply,933206525,43178959017,1654512341925
matrix-multiply,932850546,44136714505,1654512341925
matrix-multiply,936505617,45095733540,1654512341925
matrix-multiply,936089375,46059118963,1654512341925
matrix-multiply,935315470,47018833204,1654512341925
matrix-multiply,935249747,47976410397,1654512341925
matrix-multiply,935072634,48935459618,1654512341925
matrix-multiply,937463318,49894730897,1654512341925
matrix-multiply,935368149,50859346954,1654512341925
matrix-multiply,936365664,51819648519,1654512341925
matrix-multiply,933886132,52780256110,1654512341925
matrix-multiply,936304139,53739641763,1654512341925
matrix-multiply,936599123,54702230569,1654512341925
matrix-multiply,939696106,55663180242,1654512341925
matrix-multiply,934627156,56627542632,1654512341925
matrix-multiply,936662543,57585349938,1654512341925
matrix-multiply,935462797,58543514907,1654512341925
matrix-multiply,935504145,59501560932,1654512341925
matrix-multiply,935471563,60462326510,1654512341925
matrix-multiply,935521848,61423052192,1654512341925
matrix-multiply,936201997,62383712953,1654512341925
matrix-multiply,942651241,63342694427,1654512341925
matrix-multiply,935083714,64308344027,1654512341925
matrix-multiply,937616636,65272790795,1654512341925
matrix-multiply,939377026,66238466574,1654512341925
matrix-multiply,943508444,67202523149,1654512341925
matrix-multiply,937274553,68170076308,1654512341925
matrix-multiply,937633859,69131974766,1654512341925
matrix-multiply,938168764,70099393993,1654512341925
matrix-multiply,936135842,71062126749,1654512341925
matrix-multiply,947282258,72021471836,1654512341925
matrix-multiply,936842110,72997218910,1654512341925
matrix-multiply,936110495,73956390611,1654512341925
matrix-multiply,936785013,74918447477,1654512341925
matrix-multiply,946448641,75877176726,1654512341925
matrix-multiply,937700054,76846066337,1654512341925
matrix-multiply,935805070,77809664050,1654512341925
matrix-multiply,936133959,78768125025,1654512341925
matrix-multiply,948082343,79726981463,1654512341925
matrix-multiply,938581721,80699119542,1654512341925
matrix-multiply,938937951,81666278399,1654512341925
matrix-multiply,935879561,82630605132,1654512341925
matrix-multiply,940073776,83590964386,1654512341925
matrix-multiply,936068867,84555470376,1654512341925
matrix-multiply,939445715,85518060885,1654512341925
matrix-multiply,936865724,86484712449,1654512341925
matrix-multiply,936319308,87447428433,1654512341925
matrix-multiply,936056924,88409668684,1654512341925
matrix-multiply,935956655,89371489325,1654512341925
matrix-multiply,937322623,90333512407,1654512341925
matrix-multiply,935462266,91293464295,1654512341925
matrix-multiply,935133728,92253901826,1654512341925
matrix-multiply,935762350,93210719832,1654512341925
matrix-multiply,934900430,94173305271,1654512341925
matrix-multiply,936905509,95132305570,1654512341925
matrix-multiply,935556093,96096108648,1654512341925
matrix-multiply,935426549,97053385808,1654512341925
